,isrc
1134,QMRR31613002
1135,ushm81491954
1136,uscgj0957891
1137,uscgj0957894
1138,ushm81524151
1139,uscgh1627695
1140,uscgh1633198
1141,QMZJM1596150
1142,uscgj0957896
1143,usdy41611361
1144,ushm81563788
1145,usdy41670763
1146,usdy41611363
1147,uscgh1633199
1148,uscgh1633203
1149,usdy41603943
1150,QM9AA1608562
1151,uscgh1665196
1152,usdy41685536
1153,usdy41685534
1154,usdy41632535
1155,ushm81580314
1156,usdy41632540
1157,CA8991600006
1158,uscgh1618155
1159,usdy41585558
1160,usdy41632544
1161,usdy41585559
1162,uscgj0957893
1163,usdy41632538
1164,ushm21592023
1165,CA0FR1600005
1166,CA0FR1600003
1167,uscgh1637901
1168,ushm81524158
1169,ushm81524155
1170,ushm21530829
1171,USGN61207313
1172,ushm21544998
1173,QM9AA1590010
1174,QM9A91504299
1175,uscgh1618156
1176,uscgh1618157
1177,uscgh1618158
1178,uscgh1618159
1179,USHM81630042
1180,USUS11201364
1181,USSM11204394
1182,uscgh1637910
1183,usdy41632536
1184,ushm81563794
1185,uscgh1633200
1186,usdy41600038
1187,ushm81491955
1188,usdy41600039
1189,USGN61013464
1190,ushm81491956
1191,QM9A91513311
1192,AU-XL3-09-00728
1193,USCGH0781892
1194,USSM11204398
1195,USRC11301271
1196,GBEFR0700925
1197,QM9AA1570400
1198,uscgh1637909
1199,GBEFR0700925
1200,US-JI1-09-00753
1201,USSM11204399
1202,USSM11204400
1203,usdy41632539
1204,ushm81491957
1205,ushm81491958
1206,GBEFR0700925
1207,USBDW0500056
1208,USEY50600020
1209,GBQRF1113591
1210,FR6V81068688
1211,QM9AA1570401
1212,GBC8F1000218
1213,USQY51006137
1214,ARG991011119
1215,USJ3V0697840
1216,CAM460902070
1217,USCBK1010971
1218,CAM461032587
1219,QM9AA1570407
1220,USHM80473199
1221,USHM21088397
1222,QM9AA1592103
1223,QMBYC1400002
1224,USQY51298640
1225,FR6V80094819
1226,FR6V81524152
1227,USFZH1200403
1228,FR80T0900504
1229,QM9A91513314
1230,usdy41611364
1231,usdy41670765
1232,QMBYC1400001
1233,QM9AA1608561
1234,USDBB0680576
1235,usdy41600040
1236,QZ4UH1600003
1237,ushm81524156
1238,ushm81524159
1239,ushm81491959
1240,ushm81524178
1241,QM9AA1570402
1242,QM9AA1570403
1243,usdy41632542
1244,QM9AA1570404
1245,ushm81524186
1246,QM9AA1570405
1247,ushm81524152
1248,usdy41677243
1249,usdy41603942
1250,uscgh1640567
1251,QZ4UH1600004
1252,uscgh1665197
1253,usdy41632541
1254,QZ4UH1600002
1255,uscgh1665199
1256,uscgh1665205
1257,usdy41632543
1258,uscgh1665206
1259,ushm81494312
1260,ushm81511109
1261,ushm21592026
1262,uscgh1637911
1263,ushm21530830
1264,TCACK1532812
1265,ushm81509179
1266,ushm81518828
1267,uscgh1697287
1268,QM9A91513312
1269,QM9A91513313
1270,uscgh1697288
1271,ushm81580311
1272,CA0FR1600004
1273,uscgj0957897
1274,CA0FR1600002
1275,USHM21644108
1276,uscgh1665198
1277,ushm20345923
1278,uscgj0957898
1279,uscgj0957899
1280,ushm81543168
1281,USHM91625899
1282,uscgh1665200
1283,NLE711600294
1284,uscgj0957900
1285,uscgj0957901
1286,uscgh1665201
1287,uscgh1665202
1288,QM95X1400110
1289,QM95X1400103
1290,ushm81494313
1291,uscgh1482145
1292,uscgh1482146
1293,USTXK1207412
1294,QM9A91620547
1295,QM9AA1570406
1296,QM95X1400104
1297,QM95X1400107
1298,uscgh1640569
1299,usdy41603941
1300,ushm81494314
1301,ushm81494315
1302,uscgh1637914
1303,QM9A91620543
1304,ushm21530828
1305,ushm81509181
1306,usdy41670766
1307,ushm81518829
1308,ushm21431156
1309,usdy41600041
1310,US-34H-16-00007
1311,usdy41620622
1312,QMK9H1400017
1313,ushm20345920
1314,QMAAK1614009
1315,US37T0751701
1316,uscgh1630437
1317,uscgh1482147
1318,uscgh1482153
1319,QMAAK1614010
1320,QZ2A41500010
1321,uscgj0957885
1322,QM95X1400101
1323,uscgh1637915
1324,uscgh1482150
1325,uscgh1482151
1326,QM95X1400102
1327,ushm81494316
1328,QM95X1400100
1329,Deas91500033
1330,ushm81494317
1331,ushm81494318
1332,ushm81494319
1333,ushm81492434
1334,ushm21530831
1335,ushm21544996
1336,USTXK1207412
1337,CA0FR1600006
1338,QM9AA1592105
1339,ushm21431161
1340,CA0FR1600008
1341,DEE861500549
1342,CA-0FR-16-00007
1343,USHM81630604
1344,uscgh1683628
1345,uscgh1631479
1346,US34H1600010
1347,ITS781100163
1348,QM95X1400109
1349,USTXK1207412
1350,ushm81492263
1351,QM95X1400108
1352,uscgh1621702
1353,uscgh1621701
1354,QM95X1400105
1355,uscgh1482148
1356,uscgj1148831
1357,usdy41603408
1358,uscgh1697290
1359,QM95X1400106
1360,USDY41817574
1361,uscgh1621642
1362,NLE711600289
1363,uscgh1579145
1364,uscgh1482149
1365,ushm81492264
1366,ushm81492265
1367,ushm81492266
1368,ushm81492267
1369,ushm81492268
1370,US34H1600009
1371,USHM91625900
1372,usdy41670767
1373,QM95X1400111
1374,ushm21530827
1375,ushm21544995
1376,TCACK1532790
1377,US34H1600004
1378,TCACK1532798
1379,QM9AA1592097
1380,USDY41650291
1381,USASR0504019
1382,QMAAK1614015
1383,USDY41813826
1384,USUM70731991
1385,uscgh1669281
1386,ushm81524169
1387,uscgh1638622
1388,uscgh1621653
1389,GBEFR0901870
1390,ushm81524153
1391,uscgh1621643
1392,uscgh1482154
1393,uscgh1621645
1394,uscgh1482155
1395,uscgh1621704
1396,QMAAK1614014
1397,uscgh1621705
1398,uscgh1638620
1399,uscgh1638621
1400,uscgh1621703
